Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom,Accuracy,Gap
341.8,254.0,394.0,87.8,52.2,0.7166,0.7
389.0,301.0,441.0,88.0,52.0,0.7222,0.7
389.0,315.0,455.0,74.0,66.0,0.3334,0.7
311.2,206.0,346.0,105.2,34.8,0.8,0.7
542.2,477.0,617.0,65.2,74.8,0.0888,0.7
232.4,71.0,211.0,161.4,-21.4,-0.7612,0.7
236.2,25.0,165.0,211.2,-71.2,-2.1444,0.7
357.6,276.0,416.0,81.6,58.4,0.5444,0.7
542.6,459.0,599.0,83.6,56.4,0.6,0.7
542.6,494.0,634.0,48.6,91.4,-0.3722,0.7
237.4,116.0,256.0,121.4,18.6,0.35,0.7
251.4,142.0,282.0,109.4,30.6,0.6834,0.7
312.2,236.0,376.0,76.2,63.8,0.3944,0.7
236.2,83.0,223.0,153.2,-13.2,-0.5334,0.7
479.8,356.0,496.0,123.8,16.2,0.2834,0.7
540.8,495.0,635.0,45.8,94.2,-0.45,0.7
399.4,343.0,483.0,56.4,83.6,-0.1556,0.7
515.4,412.0,552.0,103.4,36.6,0.85,0.7
488.4,398.0,538.0,90.4,49.6,0.7888,0.7
313.4,217.0,357.0,96.4,43.6,0.9556,0.7
266.6,164.0,304.0,102.6,37.4,0.8722,0.7
307.2,192.0,332.0,115.2,24.8,0.5222,0.7
306.8,177.0,317.0,129.8,10.2,0.1166,0.7
235.6,79.0,219.0,156.6,-16.6,-0.6278,0.7
379.4,283.0,423.0,96.4,43.6,0.9556,0.7
535.0,436.0,576.0,99.0,41.0,0.9722,0.7
236.0,96.0,236.0,140.0,0.0,-0.1666,0.7
399.4,331.0,471.0,68.4,71.6,0.1778,0.7
389.6,318.0,458.0,71.6,68.4,0.2666,0.7
307.8,198.0,338.0,109.8,30.2,0.6722,0.7
403.0,331.0,471.0,72.0,68.0,0.2778,0.7
536.0,441.0,581.0,95.0,45.0,0.9166,0.7
